project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url,status
DeltaSpike,7193572.719667012,3736,420,11,29,130,0,2,False,-4,306,72,1148,44057,63,2499,0.04525107045543013,84.11,37,0,0,7,2.821631051024858,141,2013-06-04,2023-05-10,12,https://github.com/apache/DeltaSpike,graduated
Derby,7327678.1212651245,21343,744,13,102,138,0,4,False,-9,385,13,0,67715,117,8152,0.04950248756218906,95.1,0,22,53,170,10.741400427322358,901,2011-06-19,2023-05-19,12,https://github.com/apache/Derby,graduated
Drill,4192754.4094822877,57398,4573,12,-29,945,13,8,False,6,1222,237,387,12410,250,4375,0.08011226478201437,56.59,0,10,12,57,11.382147955327904,358,2012-09-05,2023-05-23,12,https://github.com/apache/Drill,graduated
CXF,5350733.288340371,13959,3014,10,346,1380,21,2,False,-8,1768,234,573,3314,965,36012,0.04012718226513969,118.25,0,1,19,77,13.055786411801371,270,2014-02-19,2023-05-29,12,https://github.com/apache/CXF,graduated
Eagle,1588072.006220073,4618,1010,9,111,190,-84,3,True,-9,131,45,0,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.598043574922189,246,2015-11-18,2020-11-20,12,https://github.com/apache/Eagle,graduated
Empire-db,12470583.921762895,779,179,13,-2,27,1,1,False,0,53,14,0,6314,142,1598,0.010586159576553617,6.37,35,8,2,6,13.308558005819863,140,2011-07-14,2023-05-22,12,https://github.com/apache/Empire-db,graduated
Etch,11666261.171568867,469,43,15,32,9,PRs missing,3,False,-3,Commits or Issues or PRs missing,6,0,PRs missing,216,455,0.0054585152838427945,92.36,36,1,3,5,11.387594119756184,213,2009-03-27,2015-05-18,12,https://github.com/apache/Etch,graduated
ESME,4435278.189178218,686,43,14,303,11,1,2,True,-4,21,9,0,43731,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865344,98,2010-05-26,2023-04-18,12,https://github.com/apache/ESME,graduated
Falcon,1868437.627718405,12423,315,11,80,117,0,6,False,-4,231,58,0,28092,1258,1298,0.0368270169801216,63.42,39,2,4,21,12.862245365221828,327,2013-07-20,2019-07-25,12,https://github.com/apache/Falcon,graduated
CouchDB,17488680.689644292,26048,12425,15,117,1039,126,2,False,8,1602,268,3859,12566,546,16458,0.05688571498447015,55.19,7,0,15,1,16.37939050678389,111,2009-05-21,2023-05-27,12,https://github.com/apache/CouchDB,graduated
